paper_id,title,authors,year,doi,url_pdf,licence
01,"","","","","",""
02,"","","","","",""
03,"","","","","",""
04,"","","","","",""
05,"","","","","",""
06,"","","","","",""
07,"","","","","",""
08,"","","","","",""
09,"","","","","",""
10,"","","","","",""
